#designation	ra	dec	w1	w1_err	h	h_err	k	k_err	Halpha_type	objtype_Hou	objtype_SIMBAD
J064520.12+060133.5	101.33387	6.0259848	11.416	0.022	11.888	0.039	11.673	0.033	II	CBe	-
J064541.87+062140.8	101.42447	6.3613598	12.615	0.023	12.757	0.026	12.656	0.026	II	CBe	-
J064516.73+062523.4	101.31973	6.4231785	12.035	0.023	12.185	0.025	12.110	0.026	II	CBe	-
J064450.84+064304.1	101.21185	6.7178088	12.417	0.023	12.426	0.027	12.400	0.026	II	CBe	-
J064557.95+074839.1	101.49146	7.8108784	12.422	0.023	12.544	0.025	12.479	0.030	II	CBe	-
J064451.16+065252.6	101.21317	6.8812914	12.345	0.023	12.568	0.036	12.480	0.029	II	CBe	-
J064504.71+064621.1	101.26963	6.772528	12.678	0.024	12.806	0.033	12.734	0.035	II	CBe	-
J065050.27+083335.7	102.70948	8.5599301	11.669	0.022	11.799	0.022	11.781	0.024	II	CBe	-
J065029.43+063621.0	102.62265	6.605839	10.140	0.023	10.404	0.023	10.328	0.023	II	CBe	Star
J065142.64+062700.9	102.92767	6.4502605	12.182	0.024	12.234	0.030	12.129	0.026	II	CBe	-
J064926.01+060746.5	102.35839	6.1295869	10.134	0.024	10.167	0.024	10.143	0.024	II	CBe	Star
J065624.55+062600.9	104.10231	6.4336085	13.111	0.025	13.136	0.028	13.092	0.027	II	CBe	-
J065841.31+044427.4	104.67216	4.7409696	12.136	0.023	12.271	0.030	12.191	0.023	II	CBe	-
J065609.10+052819.1	104.03793	5.4719724	12.131	0.023	12.262	0.026	12.167	0.023	II	CBe	-
J064446.00+064112.9	101.19168	6.686922	11.916	0.023	11.995	0.024	11.972	0.026	II	CBe	-
J064455.23+064122.3	101.23013	6.689541	11.027	0.023	11.334	0.025	11.134	0.025	II	CBe	-
J064603.99+054022.1	101.51663	5.6728293	12.244	0.023	12.348	0.026	12.292	0.029	II	CBe	-
J064447.22+064707.6	101.19676	6.7854511	12.827	0.025	12.881	0.029	12.851	0.027	II	CBe	-
J064535.93+064813.5	101.39973	6.803772	11.508	0.023	11.617	0.022	11.597	0.024	II	CBe	-
J064556.02+071715.1	101.48345	7.2875471	11.681	0.023	11.891	0.028	11.835	0.026	II	CBe	-
J064825.93+081032.4	102.10807	8.1756878	12.738	0.023	12.883	0.029	12.853	0.034	II	CBe	-
J064822.62+082250.7	102.09427	8.3807744	12.411	0.023	12.591	0.033	12.533	0.032	II	CBe	-
J034139.89+495611.6	55.4162236	49.9365658	13.296	0.026	13.540	0.039	13.363	0.040	II	CBe	-
J034338.61+500427.7	55.91091	50.07437	13.116	0.024	13.381	0.043	13.268	0.046	II	CBe	-
J034237.93+493326.0	55.658049	49.557231	12.777	0.024	12.901	0.034	12.814	0.034	II	CBe	-
J035146.27+513726.5	57.942817	51.624033	11.933	0.023	12.168	0.030	12.015	0.027	II	CBe	-
J035148.40+522858.0	57.951681	52.482798	12.147	0.024	12.308	0.031	12.264	0.026	II	CBe	-
J035154.05+523913.2	57.975229	52.653671	12.706	0.024	12.921	0.032	12.787	0.034	II	CBe	-
J035020.66+522425.3	57.586117	52.407048	11.810	0.023	12.003	0.030	11.907	0.027	II	CBe	-
J034832.23+522246.5	57.134294	52.379599	12.005	0.023	12.376	0.030	12.230	0.028	II	CBe	-
J035651.03+521526.0	59.212638	52.257231	12.127	0.023	12.373	0.034	12.289	0.031	II	CBe	-
J035325.29+522219.9	58.35539	52.3722	12.793	0.024	12.963	0.034	12.890	0.035	II	CBe	-
J035329.41+522751.8	58.372551	52.464412	11.925	0.024	12.101	0.026	12.010	0.026	II	CBe	-
J131633.58+073942.0	199.1399541	7.6616778	15.998	0.051	15.696	0.151	16.301	-	II	CBe	-
J061459.42+263420.6	93.747585	26.5724	12.763	0.030	12.860	0.026	12.802	0.027	II	CBe	-
J061645.94+271915.2	94.191443	27.32089	12.090	0.025	12.261	0.023	12.157	0.023	II	CBe	-
J061903.73+273723.1	94.765555	27.623095	12.444	0.025	12.553	0.017	12.499	0.023	II	CBe	-
J061951.70+290755.5	94.965452	29.13209	10.909	0.023	11.125	0.022	10.978	0.017	II	CBe	-
J062107.81+285911.1	95.282574	28.986419	10.140	0.023	10.288	0.022	10.185	0.019	II	CBe	Star
J061137.84+283216.0	92.907691	28.537781	11.423	0.022	11.706	0.022	11.608	0.021	II	CBe	-
J061607.67+255007.8	94.031977	25.835518	11.331	0.023	11.517	0.021	11.398	0.018	II	CBe	-
J062140.49+265806.2	95.418718	26.968403	10.566	0.024	10.664	0.022	10.588	0.018	II	CBe	Star
J060830.83+263639.0	92.128482	26.610836	12.509	0.025	12.818	0.027	12.720	0.026	II	CBe	-
J060800.24+263741.7	92.001007	26.628266	11.454	0.025	11.596	0.026	11.546	0.019	II	CBe	-
J062310.76+290231.1	95.794872	29.04199	11.848	0.024	11.915	0.020	11.844	0.022	II	CBe	-
J044031.21+453506.0	70.130055	45.585009	11.824	0.024	12.079	0.032	11.907	0.020	II	CBe	-
J044703.70+480758.0	71.765417	48.132786	12.015	0.023	12.225	0.032	12.122	0.028	II	CBe	-
J043949.08+484926.8	69.954512	48.824129	11.756	0.023	12.042	0.031	11.884	0.021	II	CBe	-
J043706.21+462158.1	69.275876	46.366156	11.312	0.024	11.564	0.023	11.449	0.021	II	CBe	-
J044001.89+460547.9	70.00791	46.096646	11.378	0.022	11.715	0.032	11.542	0.025	II	CBe	-
J045659.26+463204.1	74.246946	46.534497	12.446	0.024	12.625	0.030	12.506	0.030	II	CBe	Emission-lineStar
J043446.81+475532.0	68.695054	47.925575	10.713	0.023	11.008	0.023	10.857	0.021	II	CBe	-
J044322.33+483352.4	70.843057	48.564561	11.916	0.023	12.154	0.035	12.018	0.023	II	CBe	-
J044612.45+482940.1	71.551902	48.494473	12.145	0.033	12.427	0.037	12.269	0.026	II	CBe	-
J044302.53+490119.8	70.760569	49.022193	11.148	0.022	11.232	0.031	11.164	0.018	II	CBe	-
J064315.13+075143.1	100.81308	7.861987	11.630	0.022	11.866	0.026	11.752	0.024	II	CBe	-
J064322.53+072825.2	100.84388	7.4736799	12.811	0.037	12.927	0.023	12.843	0.033	II	CBe	-
J064005.17+094618.0	100.02155	9.7716874	10.162	0.023	10.632	0.023	10.400	0.021	II	CBe	Emission-lineStar
J064832.61+090329.7	102.1359	9.0582651	13.157	0.024	13.271	0.029	13.189	0.035	II	CBe	StarinCluster
J064938.69+103851.9	102.41121	10.647757	12.785	0.025	13.172	0.029	13.115	0.035	II	CBe	StarinCluster
J065250.34+100454.4	103.20979	10.081778	13.266	0.026	13.355	0.024	13.238	0.033	II	CBe	-
J064314.95+074326.6	100.8123	7.7240557	11.246	0.023	11.373	0.023	11.256	0.019	II	CBe	Star
J064307.16+074058.2	100.77987	7.682841	11.431	0.022	11.549	0.024	11.464	0.021	II	CBe	-
J064348.54+075327.8	100.95226	7.8910559	11.812	0.024	12.001	0.022	11.898	0.019	II	CBe	StarinCluster
J064337.09+075229.1	100.90456	7.8747584	11.712	0.024	12.120	0.042	11.916	0.030	II	CBe	-
J064325.01+073317.2	100.85422	7.5547865	11.950	0.022	12.071	0.023	12.018	0.023	II	CBe	-
J064306.30+073603.7	100.77627	7.601051	10.982	0.023	11.020	0.023	10.989	0.021	II	CBe	Star
J064750.58+084255.0	101.96078	8.7152794	12.616	0.025	12.752	0.029	12.690	0.031	II	CBe	-
J064917.52+100126.8	102.32302	10.024136	10.489	0.023	10.906	0.027	10.716	0.026	II	CBe	-
J042556.19+414907.7	66.484152	41.818829	10.460	0.024	10.590	0.028	10.498	0.020	II	CBe	Star
J041410.44+430855.1	63.543536	43.148659	11.353	0.024	11.561	0.027	11.465	0.020	II	CBe	-
J041758.55+433729.5	64.493992	43.624867	11.432	0.023	11.629	0.032	11.537	0.021	II	CBe	-
J040905.93+432827.6	62.27473	43.474358	9.676	0.023	9.733	0.029	9.757	0.022	II	CBe	Star
J041757.70+422349.5	64.490458	42.397089	11.036	0.022	11.260	0.030	11.136	0.022	II	CBe	-
J042556.19+414907.7	66.484152	41.818829	10.460	0.024	10.590	0.028	10.498	0.020	II	CBe	Star
J041800.75+431127.1	64.503149	43.190865	10.532	0.023	10.714	0.029	10.633	0.020	II	CBe	-
J041119.92+440917.0	62.833016	44.154747	11.343	0.023	11.451	0.030	11.351	0.018	II	CBe	-
J063929.08+132219.7	99.871181	13.372151	12.717	0.024	12.828	0.022	12.770	0.026	II	CBe	-
J064612.85+125909.6	101.55358	12.986021	12.097	0.029	12.176	0.043	12.157	0.041	II	CBe	Star
J064433.11+115540.7	101.13797	11.927978	11.369	0.023	11.453	0.022	11.357	0.018	II	CBe	StarinCluster
J063834.51+121639.7	99.64382	12.2776982	12.801	0.024	13.006	0.031	12.954	0.030	II	CBe	-
J065218.73+132933.2	103.07807	13.492582	9.772	0.022	9.790	0.015	9.786	0.015	II	CBe	Star
J063834.51+121639.7	99.64382	12.2776982	12.801	0.024	13.006	0.031	12.954	0.030	II	CBe	-
J064302.17+144435.7	100.75905	14.743274	13.051	0.025	13.170	0.026	13.100	0.030	II	CBe	-
J063621.14+131403.9	99.088085	13.234444	11.486	0.022	11.637	0.025	11.551	0.017	II	CBe	-
J135545.95+002539.9	208.941466	0.427764	14.317	0.027	14.371	0.039	14.462	0.080	II	CBe	-
J040446.68+485013.9	61.194502	48.837207	10.591	0.023	10.843	0.029	10.728	0.021	II	CBe	-
J042039.31+501326.3	65.163801	50.223987	11.256	0.024	11.462	0.026	11.347	0.023	II	CBe	-
J042018.51+491623.6	65.077165	49.273235	9.751	0.023	10.099	0.028	9.944	0.022	II	CBe	Emission-lineStar
J041100.72+490105.8	62.753037	49.018291	11.352	0.023	11.773	0.032	11.517	0.025	II	CBe	-
J041215.03+511203.1	63.062665	51.200884	10.804	0.022	11.147	0.028	11.038	0.026	II	CBe	-
J041028.99+505756.6	62.620826	50.965742	11.385	0.023	11.703	0.030	11.520	0.025	II	CBe	-
J041054.46+504354.9	62.726947	50.731931	11.590	0.023	12.165	0.030	12.079	0.028	II	CBe	-
J041034.14+505246.4	62.642267	50.879583	10.685	0.024	10.867	0.030	10.765	0.023	II	CBe	Star
J041503.64+520945.9	63.765183	52.162758	12.048	0.026	12.204	0.026	12.132	0.023	II	CBe	-
J035217.09+511957.1	58.071246	51.332543	11.707	0.023	11.938	0.030	11.847	0.028	II	CBe	-
J035814.14+521024.3	59.558931	52.173432	10.573	0.023	10.801	0.032	10.645	0.021	II	CBe	Emission-lineStar
J035941.19+520908.3	59.921641	52.152326	11.219	0.023	11.495	0.031	11.365	0.021	II	CBe	-
J040149.84+522707.5	60.457676	52.452093	11.897	0.023	12.160	0.036	12.044	0.027	II	CBe	-
J042018.51+491623.6	65.077165	49.273235	9.751	0.023	10.099	0.028	9.944	0.022	II	CBe	Emission-lineStar
J041706.17+490757.2	64.27573	49.132561	11.275	0.024	11.593	0.019	11.442	0.020	II	CBe	-
J041407.87+505417.6	63.532832	50.904899	9.950	0.025	10.051	0.021	9.981	0.019	II	CBe	Star
J041033.57+505140.6	62.639891	50.861284	11.397	0.023	11.562	0.030	11.455	0.025	II	CBe	-
J040212.39+523426.4	60.551633	52.574003	12.169	0.025	12.286	0.028	12.183	0.023	II	CBe	-
J040301.08+522546.9	60.754503	52.429721	11.659	0.023	11.824	0.029	11.774	0.026	II	CBe	-
J041857.80+514735.5	64.740854	51.793202	11.979	0.024	12.198	0.026	12.082	0.025	II	CBe	-
J041732.53+512606.8	64.385575	51.435223	9.141	0.023	9.329	0.028	9.245	0.021	II	CBe	Star
J040604.74+510850.1	61.519775	51.147255	11.520	0.023	11.729	0.030	11.621	0.025	II	CBe	-
J051718.65+370434.0	79.327736	37.076123	11.857	0.024	12.011	0.031	11.923	0.028	II	CBe	-
J051743.94+374430.9	79.433111	37.741918	11.686	0.023	11.871	0.028	11.783	0.027	II	CBe	-
J052103.99+370235.2	80.26663	37.043138	12.375	0.025	12.591	0.029	12.526	0.030	II	CBe	-
J052156.51+370032.0	80.485473	37.008905	12.121	0.024	12.370	0.018	12.240	0.017	II	CBe	-
J052706.83+371719.3	81.778469	37.2887	11.513	0.024	11.768	0.027	11.639	0.024	II	CBe	-
J052725.09+372101.3	81.854579	37.350388	12.164	0.024	12.313	0.028	12.242	0.024	II	CBe	-
J052534.82+363324.5	81.395114	36.556828	9.178	0.023	9.088	0.015	8.849	0.013	II	CBe	Emission-lineStar
J052413.75+393839.1	81.057321	39.644196	10.426	0.022	10.544	0.017	10.485	0.016	II	CBe	Star
J052948.83+373100.0	82.45348	37.516685	9.036	0.024	9.098	0.032	9.018	0.022	II	CBe	Emission-lineStar
J052000.31+384704.5	80.001323	38.784597	12.078	0.024	12.201	0.032	12.131	0.018	II	CBe	-
J051120.89+383849.9	77.837074	38.647198	11.007	0.023	11.142	0.019	11.031	0.018	II	CBe	-
J051153.07+383349.5	77.971139	38.563764	11.306	0.023	11.460	0.021	11.365	0.018	II	CBe	Star
J051741.75+385654.5	79.423994	38.948494	10.555	0.025	10.695	0.030	10.671	0.027	II	CBe	Star
J051800.33+390114.2	79.50141	39.020633	11.129	0.023	11.273	0.029	11.232	0.023	II	CBe	Star
J051354.44+385038.7	78.476844	38.844091	11.977	0.023	12.077	0.021	12.039	0.024	II	CBe	-
J051625.07+393912.4	79.104467	39.653447	11.188	0.023	11.578	0.023	11.385	0.019	II	CBe	Emission-lineStar
J065520.05+095224.1	103.83357	9.8733649	12.443	0.023	12.521	0.026	12.475	0.027	II	CBe	-
J045711.78+424731.4	74.29909	42.792057	11.902	0.023	12.079	0.020	11.968	0.025	II	CBe	-
J045631.98+450001.6	74.133282	45.00045	11.289	0.023	11.520	0.030	11.383	0.027	II	CBe	-
J045752.97+455302.4	74.470715	45.884023	11.506	0.027	11.885	-	11.762	0.036	II	CBe	-
J044246.37+451651.9	70.693237	45.2811	9.205	0.024	9.440	0.028	9.310	0.024	II	CBe	Star
J045303.72+420218.1	73.265535	42.038383	11.706	0.024	12.173	0.019	12.066	0.021	II	CBe	-
J045840.79+415552.5	74.669967	41.931257	12.036	0.030	12.187	0.032	12.123	0.023	II	CBe	-
J050027.87+415318.7	75.11613	41.888542	10.546	0.022	10.733	0.031	10.700	0.019	II	CBe	Emission-lineStar
J050134.90+433112.6	75.395451	43.520172	12.712	0.023	12.868	0.035	12.757	0.024	II	CBe	-
J045631.98+450001.6	74.13328	45.000449	11.289	0.023	11.520	0.030	11.383	0.027	II	CBe	-
J050406.98+444430.4	76.029102	44.741786	11.551	0.024	11.795	0.031	11.637	0.022	II	CBe	-
J045009.60+420804.1	72.540023	42.134474	12.534	0.027	12.626	0.026	12.569	0.030	II	CBe	-
J045805.44+421609.1	74.522672	42.269216	12.867	0.024	13.051	0.029	12.974	0.033	II	CBe	-
J044257.98+431516.3	70.741603	43.254551	9.378	0.023	9.548	0.027	9.437	0.021	II	CBe	Star
J064651.07+112819.4	101.71281	11.472063	12.649	0.024	12.795	0.029	12.772	0.037	II	CBe	-
J064745.81+111321.9	101.94088	11.222758	12.887	0.023	12.990	0.030	12.933	0.030	II	CBe	-
J063834.51+121639.7	99.64382	12.2776982	12.801	0.024	13.006	0.031	12.954	0.030	II	CBe	-
J065218.73+132933.2	103.07807	13.492582	9.772	0.022	9.790	0.015	9.786	0.015	II	CBe	Star
J063517.39+132002.0	98.822493	13.333907	12.317	0.024	12.487	0.027	12.350	0.021	II	CBe	-
J044830.66+394710.0	72.127789	39.786121	12.028	0.023	12.206	0.021	12.117	0.023	II	CBe	-
J044721.48+400803.2	71.839508	40.134247	9.847	0.022	10.090	0.015	9.993	0.019	II	CBe	Emission-lineStar
J044451.32+422048.9	71.213865	42.346942	12.463	0.023	12.786	0.036	12.720	0.034	II	CBe	-
J045148.14+415742.4	72.950591	41.961783	12.149	0.024	12.254	0.021	12.184	0.022	II	CBe	-
J045229.69+412503.7	73.123725	41.417717	11.340	0.022	11.464	0.019	11.469	0.023	II	CBe	-
J044924.98+413111.8	72.354117	41.519949	12.060	0.023	12.268	0.021	12.170	0.021	II	CBe	-
J044112.07+411711.0	70.3003	41.286403	12.128	0.023	12.307	0.023	12.201	0.022	II	CBe	-
J044800.93+401847.9	72.003901	40.313317	11.912	0.023	12.024	0.019	11.926	0.022	II	CBe	-
J044758.55+390655.7	71.993962	39.115498	10.784	0.024	10.999	0.017	10.869	0.020	II	CBe	-
J044411.64+420436.5	71.048503	42.076814	12.520	0.024	12.640	0.030	12.545	0.023	II	CBe	-
J044350.95+430417.2	70.962303	43.071467	10.701	0.023	10.849	0.029	10.753	0.022	II	CBe	-
J045019.41+415453.6	72.580894	41.914916	12.322	0.023	12.456	0.023	12.393	0.023	II	CBe	-
J045109.27+412430.6	72.78866	41.408507	11.375	0.023	11.492	0.021	11.437	0.019	II	CBe	-
J064313.98+074646.7	100.80826	7.77964	11.639	0.023	11.988	0.027	11.809	0.026	II	CBe	-
J064422.26+075235.8	101.09275	7.8766212	11.398	0.023	11.561	0.023	11.483	0.023	II	CBe	-
J064803.20+075154.3	102.01335	7.865087	11.649	0.023	11.827	0.023	11.774	0.027	II	CBe	-
J064651.07+112819.4	101.71281	11.472063	12.649	0.024	12.795	0.029	12.772	0.037	II	CBe	-
J064739.89+112124.1	101.91624	11.356705	12.996	0.024	13.111	0.031	13.049	0.030	II	CBe	-
J064719.85+111819.7	101.83274	11.305475	11.560	0.023	11.682	0.025	11.679	0.026	II	CBe	StarinCluster
J053113.13+361847.4	82.804743	36.313167	12.799	0.025	12.987	0.021	12.919	0.030	II	CBe	-
J052527.38+364001.9	81.364107	36.667212	11.911	0.023	12.055	0.016	11.985	0.017	II	CBe	-
J051027.29+384249.6	77.613747	38.713804	12.125	0.023	12.479	0.030	12.360	0.031	II	CBe	-
J051255.09+392251.2	78.229573	39.3809	12.126	0.024	12.319	0.021	12.192	0.024	II	CBe	-
J064107.95+165345.2	100.28316	16.895912	13.296	0.057	13.254	0.030	13.255	0.039	II	CBe	-
J063257.06+175522.5	98.237773	17.922938	12.122	0.023	12.274	0.017	12.211	0.021	II	CBe	-
J063807.83+192250.2	99.532656	19.380627	12.453	0.023	12.553	0.019	12.542	0.025	II	CBe	-
J063726.57+191027.6	99.360727	19.174351	13.013	0.024	13.118	0.023	13.034	0.029	II	CBe	-
J144232.26-022900.1	220.634442	-2.483377	15.150	0.034	15.287	0.090	15.441	0.247	II	CBe	-
J052958.85+395023.0	82.495213	39.839739	11.694	0.023	11.872	0.017	11.806	0.017	II	CBe	-
J052926.37+394854.6	82.359914	39.815178	10.891	0.023	11.237	0.040	11.123	0.026	II	CBe	-
J054340.40+381939.5	85.918342	38.327658	12.262	0.024	12.499	0.036	12.424	0.028	II	CBe	-
J054012.81+413340.5	85.053404	41.56126	10.412	0.022	10.680	0.032	10.605	0.022	II	CBe	Star
J054435.31+412348.7	86.147165	41.396888	12.837	0.025	12.984	0.031	12.861	0.031	II	CBe	-
J052551.86+403220.3	81.466091	40.538982	10.347	0.023	10.730	0.017	10.506	0.018	II	CBe	-
J053019.88+384404.0	82.582869	38.734452	11.762	0.024	11.986	0.016	11.881	0.019	II	CBe	-
J053018.55+393757.2	82.577303	39.632561	11.610	0.023	11.762	0.017	11.646	0.015	II	CBe	-
J053112.42+394904.1	82.801761	39.817811	12.236	0.022	12.376	0.017	12.331	0.020	II	CBe	-
J053539.60+395532.6	83.915029	39.925727	12.849	0.025	12.993	0.029	12.975	0.033	II	CBe	-
J054744.80+392815.4	86.936706	39.470949	11.652	0.023	11.885	0.032	11.796	0.026	II	CBe	-
J052431.76+393838.8	81.132352	39.644116	11.982	0.025	12.227	0.023	12.147	0.026	II	CBe	-
J052838.24+392432.3	82.159361	39.408997	12.285	0.024	12.466	0.030	12.404	0.025	II	CBe	-
J054032.31+421203.4	85.134645	42.200945	12.744	0.024	12.848	0.033	12.786	0.026	II	CBe	-
J053627.00+421329.6	84.112526	42.22491	10.579	0.023	10.744	0.032	10.631	0.020	II	CBe	-
J053838.92+422222.5	84.662177	42.372917	12.159	0.024	12.267	0.030	12.248	0.022	II	CBe	-
J054424.64+414032.3	86.102686	41.675645	12.736	0.025	12.889	0.033	12.768	0.029	II	CBe	-
J064007.80+030533.0	100.03254	3.0925159	11.994	0.022	12.210	0.023	12.081	0.023	II	CBe	-
J064125.63+023103.7	100.35682	2.5177049	10.870	0.023	10.922	0.021	10.916	0.021	II	CBe	Star
J063543.36+024318.5	98.930673	2.721817	10.623	0.034	10.778	0.027	10.632	0.023	II	CBe	-
J063439.21+042731.1	98.663407	4.4586571	11.658	0.024	11.925	0.032	11.807	0.026	II	CBe	StarinCluster
J063501.91+040837.1	98.757981	4.143651	11.830	0.024	12.134	0.023	11.976	0.021	II	CBe	-
J063609.98+051341.6	99.041614	5.228228	10.920	0.023	10.942	0.023	10.935	0.024	II	CBe	StarinCluster
J063533.90+044338.9	98.89125	4.727476	10.503	0.023	10.639	0.024	10.540	0.019	II	CBe	-
J063554.32+044238.8	98.976349	4.710788	10.900	0.022	11.135	0.027	10.992	0.023	II	CBe	Star
J063540.48+043939.1	98.918695	4.6608812	12.193	0.025	12.387	0.029	12.235	0.027	II	CBe	-
J063552.70+042659.5	98.969595	4.4498812	11.827	0.024	12.009	0.026	11.937	0.029	II	CBe	-
J063545.39+043533.1	98.939141	4.5925484	11.819	0.026	12.073	0.027	11.900	0.024	II	CBe	-
J063507.94+043820.1	98.783124	4.63892	12.059	0.030	12.245	0.026	12.109	0.023	II	CBe	-
J063514.78+052121.8	98.811606	5.3560758	11.734	0.022	11.852	0.024	11.796	0.019	II	CBe	WhiteDwarfCandidate
J063528.16+051542.6	98.867334	5.261848	11.901	0.023	11.967	0.024	11.925	0.019	II	CBe	StarinCluster
J064045.04+042308.1	100.18767	4.385604	10.970	0.022	11.204	0.027	11.099	0.029	II	CBe	StarinCluster
J063815.20+042020.2	99.563344	4.3389473	12.072	0.023	12.239	0.025	12.120	0.023	II	CBe	StarinCluster
J064101.98+064824.5	100.25829	6.8068279	12.646	0.024	12.757	0.023	12.668	0.024	II	CBe	-
J064029.58+064100.6	100.12326	6.6835219	11.672	0.022	11.927	0.026	11.793	0.024	II	CBe	-
J064103.95+064125.5	100.26649	6.6904356	12.463	0.024	12.584	0.022	12.571	0.024	II	CBe	-
J064505.37+061303.1	101.27241	6.2175513	12.712	0.025	12.829	0.027	12.758	0.035	II	CBe	-
J064504.21+063843.3	101.26757	6.6453825	13.067	0.027	13.080	0.027	13.059	0.030	II	CBe	-
J064451.93+062458.0	101.21638	6.4161347	12.328	0.025	12.463	0.025	12.384	0.026	II	CBe	-
J064416.40+063156.7	101.06837	6.53242	10.350	0.023	10.474	0.022	10.416	0.023	II	CBe	Star
J064828.29+050729.9	102.1179	5.124976	11.511	0.023	11.746	0.025	11.643	0.024	II	CBe	Star
J064556.23+054333.0	101.4843	5.7258419	12.539	0.023	12.718	0.037	12.601	0.031	II	CBe	-
J063451.66+052353.1	98.715275	5.3980841	11.605	0.024	11.674	0.026	11.636	0.021	II	CBe	StarinCluster
J063243.21+061729.4	98.18005	6.291526	10.936	0.023	11.251	0.025	11.058	0.019	II	CBe	-
J063543.36+024318.5	98.930673	2.721817	10.623	0.034	10.778	0.027	10.632	0.023	II	CBe	-
J063537.95+024749.8	98.908138	2.797176	11.592	0.023	11.953	0.022	11.760	0.023	II	CBe	-
J063625.48+045611.0	99.106206	4.936408	10.696	0.024	10.819	0.022	10.764	0.026	II	CBe	Star
J063548.14+045423.3	98.950624	4.906476	10.557	0.025	10.663	0.022	10.639	0.019	II	CBe	StarinCluster
J063540.48+043939.1	98.918695	4.6608812	12.193	0.025	12.387	0.029	12.235	0.027	II	CBe	-
J063527.14+050441.8	98.863091	5.07829	12.291	0.025	12.501	0.025	12.380	0.024	II	CBe	-
J063653.58+045812.7	99.223285	4.9701995	11.586	0.027	11.806	0.022	11.659	0.024	II	CBe	-
J063710.71+050554.1	99.294644	5.0983866	9.402	0.022	9.508	0.023	9.436	0.019	II	CBe	StarinCluster
J064045.04+042308.1	100.18767	4.385604	10.970	0.022	11.204	0.027	11.099	0.029	II	CBe	StarinCluster
J063713.46+044233.9	99.306119	4.7094358	11.238	0.023	11.477	0.022	11.336	0.019	II	CBe	-
J064521.45+034220.9	101.33938	3.7058194	12.525	0.024	12.732	0.021	12.669	0.027	II	CBe	-
J064702.09+043909.7	101.75872	4.6527216	12.534	0.022	12.731	0.036	12.685	0.029	II	CBe	-
J064752.48+043909.3	101.96869	4.6526044	12.030	0.022	12.150	0.026	12.058	0.029	II	CBe	-
J064139.06+064411.4	100.41276	6.7365194	11.873	0.023	11.903	0.023	11.941	0.026	II	CBe	-
J064355.74+062308.7	100.98226	6.3857692	12.430	0.024	12.567	0.027	12.455	0.024	II	CBe	-
J064412.50+062417.8	101.05211	6.4049547	11.101	0.023	11.144	0.022	11.105	0.023	II	CBe	Star
J064446.08+060000.2	101.19204	6.000078	10.755	0.021	10.831	0.024	10.783	0.025	II	CBe	Star
J064451.93+062458.0	101.21638	6.4161347	12.328	0.025	12.463	0.025	12.384	0.026	II	CBe	-
J064529.82+063401.4	101.37428	6.5670808	12.758	0.024	12.950	0.030	12.841	0.036	II	CBe	-
J064309.64+065140.5	100.79017	6.8612749	12.720	0.022	12.783	0.029	12.761	0.027	II	CBe	-
J064620.71+054823.5	101.5863	5.8065505	12.530	0.023	12.736	0.024	12.636	0.024	II	CBe	-
J064528.74+054827.1	101.36978	5.8075329	11.435	0.023	11.683	0.024	11.504	0.023	II	CBe	-
J064528.24+053731.4	101.36767	5.6254017	12.503	0.024	12.638	0.027	12.581	0.029	II	CBe	-
J064628.54+051836.8	101.61895	5.310239	11.569	0.023	11.645	0.022	11.614	0.026	II	CBe	-
J064518.41+053741.4	101.32673	5.6281918	12.482	0.024	12.577	0.027	12.547	0.027	II	CBe	-
J064644.34+053402.4	101.68478	5.5673391	11.599	0.023	11.850	0.037	11.721	0.030	II	CBe	-
J064522.72+050623.6	101.34468	5.10656	12.783	0.023	12.905	0.024	12.861	0.030	II	CBe	-
J063541.30+055235.4	98.922104	5.876502	10.790	0.022	10.960	0.022	10.906	0.024	II	CBe	StarinCluster
J063211.22+055938.2	98.046752	5.9939505	11.073	0.023	11.205	0.026	11.109	0.025	II	CBe	StarinCluster
J063701.50+061830.3	99.256285	6.3084254	12.021	0.025	12.160	0.027	12.110	0.024	II	CBe	-
J063547.79+062650.7	98.949162	6.4474279	12.692	0.025	12.800	0.021	12.684	0.032	II	CBe	StarinCluster
J063642.35+062314.6	99.176467	6.3873955	12.203	0.025	12.314	0.027	12.195	0.023	II	CBe	StarinCluster
J053047.62+362107.0	82.698417	36.351958	10.256	0.023	10.300	0.016	10.273	0.016	II	CBe	Star
J053238.32+365731.6	83.159692	36.958788	11.419	0.023	11.583	0.016	11.491	0.015	II	CBe	-
J052646.47+363542.6	81.693654	36.595191	11.634	0.033	11.897	0.037	11.746	0.029	II	CBe	-
J052741.88+365318.2	81.924534	36.888409	11.327	0.022	11.673	0.030	11.503	0.023	II	CBe	-
J053055.63+360823.1	82.731818	36.13975	11.749	0.024	11.931	0.016	11.841	0.019	II	CBe	-
J052718.68+370120.3	81.827859	37.022309	11.415	0.026	12.010	0.032	11.878	0.023	II	CBe	-
J052620.59+371145.0	81.585821	37.195835	9.362	0.022	9.566	0.030	9.496	0.021	II	CBe	Emission-lineStar
J052623.05+364201.5	81.596083	36.700438	11.196	0.024	11.652	0.034	11.424	0.020	II	CBe	-
J050911.79+371104.9	77.29914	37.184716	11.523	0.023	11.671	0.024	11.572	0.018	II	CBe	-
J052711.58+393143.4	81.79826	39.528741	12.440	0.024	12.663	0.032	12.531	0.028	II	CBe	-
