#designation	ra	dec	w1	w1_err	h	h_err	k	k_err	Halpha_type	objtype_Hou	objtype_SIMBAD
J030705.71+520947.3	46.773817	52.163155	9.892	0.023	10.242	0.029	10.069	0.018	I	CBe	Emission-lineStar
J043230.94+531036.0	68.128957	53.176687	11.240	0.024	11.771	0.023	11.575	0.022	I	CBe	Emission-lineStar
J060225.94+310310.3	90.60809	31.05287	11.810	0.024	12.038	0.033	11.859	0.025	I	CBe	-
J055818.39+315050.4	89.576652	31.847343	9.799	0.023	10.129	0.027	9.992	0.021	I	CBe	Star
J060608.68+313725.0	91.536171	31.623622	11.985	0.023	12.358	0.029	12.218	0.027	I	CBe	-
J065025.97+113923.4	102.60824	11.656516	10.928	0.022	11.493	0.025	11.274	0.024	I	CBe	Star
J044934.71+412647.5	72.394637	41.446545	11.347	0.023	11.749	0.021	11.539	0.022	I	CBe	-
J064619.46+170816.6	101.58109	17.137945	12.651	0.023	12.710	0.031	12.621	0.026	I	CBe	-
J063500.45+171044.7	98.751885	17.179108	10.769	0.023	11.416	0.025	11.233	0.021	I	CBe	Star
J035803.39+470904.3	59.51414	47.151203	10.149	0.023	10.479	0.030	10.307	0.026	I	CBe	Emission-lineStar
J040251.79+470328.9	60.715829	47.058044	11.026	0.023	11.418	0.033	11.238	0.020	I	CBe	Emission-lineStar
J040258.19+490744.9	60.742491	49.129143	11.334	0.023	11.649	0.032	11.500	0.022	I	CBe	Emission-lineStar
J041704.35+482858.9	64.268166	48.483051	11.142	0.023	11.914	0.026	11.575	0.021	I	CBe	-
J041740.38+472105.5	64.418259	47.351544	11.268	0.023	11.336	0.029	11.067	0.021	I	CBe	-
J064845.66+115640.7	102.19027	11.944653	11.150	0.023	11.358	0.023	11.264	0.021	I	CBe	Star
J064931.23+124804.0	102.38015	12.801118	10.907	0.023	11.317	0.017	11.143	0.017	I	CBe	-
J043230.94+531036.0	68.128957	53.176687	11.240	0.024	11.771	0.023	11.575	0.022	I	CBe	Emission-lineStar
J043749.67+514255.8	69.456969	51.715519	10.454	0.023	10.907	0.031	10.652	0.021	I	CBe	-
J044324.22+542816.5	70.850958	54.471275	8.817	0.022	9.119	0.015	8.891	0.021	I	CBe	Star
J045207.73+524133.9	73.032234	52.692755	11.419	0.024	11.704	0.032	11.572	0.023	I	CBe	-
J064623.42+053306.7	101.59762	5.5518786	12.947	0.024	13.198	0.042	13.091	0.035	I	CBe	-
J065654.22+075902.8	104.22594	7.9841191	11.947	0.022	12.180	0.033	12.069	0.026	I	CBe	-
J064524.62+072915.8	101.35262	7.4877374	11.892	0.022	12.058	0.025	11.991	0.025	I	CBe	-
J065348.11+074415.7	103.45048	7.7377009	10.602	0.023	11.013	0.026	10.872	0.023	I	CBe	Star              
J055100.84+293910.1	87.753507	29.652815	14.665	0.034	14.951	0.077	14.910	0.112	I	CBe	-
J035447.92+445619.6	58.699681	44.938786	9.492	0.024	10.218	0.030	10.000	0.023	I	CBe	Emission-lineStar
J034923.85+481438.8	57.349398	48.244118	9.393	0.023	9.601	0.027	9.397	0.021	I	CBe	Star
J035649.65+460947.2	59.206875	46.16312	10.973	0.024	11.397	0.031	11.180	0.022	I	CBe	WhiteDwarfCandidate
J055944.21+095416.3	89.934222	9.9045454	11.038	0.022	11.401	0.022	11.255	0.023	I	CBe	-
